dataset,var,unit,bias,mae,rmse,n_stations,n_years_min,n_years_max
D03,t,C,-1.034739181047179,1.457255171710997,1.6350286963851453,121,15,20
D03,pr,%,379.7797671482085,890.8766642945442,918.470632602759,129,15,20
D03,wind,%,22.539872052167816,0.6221598626649173,0.6813871009391994,10,16,20
D02,t,C,-2.0367056743010736,2.2115902527621,2.3743049465155863,121,15,20
D02,pr,%,831.3127341932618,2034.8495488557658,2071.2802569739424,129,15,20
D02,wind,%,25.266259771977786,0.790579508288473,0.849553745233427,10,16,20
D01,t,C,-3.066646093807093,3.201456713430714,3.3336532416756626,120,15,20
D01,pr,%,996.7827235651446,2207.3402529688447,2243.351444219586,128,15,20
D01,wind,%,-2.772265446189707,0.5611422200046784,0.6193495342019304,10,16,20
CanESM2,t,C,-1.9439756682398834,2.392387877582534,2.59148486985246,121,15,20
CanESM2,pr,%,715.4069531924821,955.8944056437679,979.4663932466657,129,15,20
CanESM2,wind,%,47.5830304795028,1.1610755934599069,1.2073003059066285,10,16,20
CanRCM4,t,C,-3.603711273553493,3.640502769197147,3.800729975212503,121,15,20
CanRCM4,pr,%,507.7411431038381,1247.053695935529,1272.191167082584,129,15,20
CanRCM4,wind,%,48.37134132918957,1.3250755845369078,1.3717172605949934,10,16,20
